datetime,close,order,P/L
2021-09-01 00:00:00,27.74,sell,0
2021-09-02 00:00:00,27.7,sell,3.9999999999999147
2021-09-03 00:00:00,27.02,sell,75.9999999999998
2021-09-07 00:00:00,25.19,sell,330.99999999999955
2021-09-08 00:00:00,24.27,sell,677.9999999999994
2021-09-09 00:00:00,25.33,sell,918.9999999999994
2021-09-10 00:00:00,24.44,sell,1248.999999999999
2021-09-13 00:00:00,24.21,sell,1601.9999999999989
2021-09-14 00:00:00,23.83,sell,1992.9999999999989
2021-09-15 00:00:00,24.01,sell,2365.9999999999986
2021-09-16 00:00:00,23.46,sell,2793.999999999998
2021-09-17 00:00:00,24.14,sell,3153.999999999998
2021-09-20 00:00:00,23.62,sell,3565.999999999998
2021-09-21 00:00:00,23.12,sell,4027.999999999998
2021-09-22 00:00:00,23.47,sell,4454.999999999998
2021-09-23 00:00:00,23.46,sell,4882.999999999998
2021-09-24 00:00:00,22.95,sell,5361.999999999998
2021-09-27 00:00:00,23.77,buy,4964.999999999998
2021-09-28 00:00:00,22.87,sell,5451.999999999998
2021-09-29 00:00:00,22.2,sell,6005.999999999998
2021-09-30 00:00:00,17.275,sell,7052.499999999998
2021-10-01 00:00:00,16.58,sell,8168.499999999998
2021-10-04 00:00:00,15.7,sell,9372.499999999998
2021-10-05 00:00:00,15.03,sell,10643.499999999998
2021-10-06 00:00:00,14.42,sell,11975.499999999998
2021-10-07 00:00:00,15.5,sell,13199.499999999998
2021-10-08 00:00:00,14.85,sell,14488.499999999998
2021-10-11 00:00:00,14.59,sell,15803.499999999998
2021-10-12 00:00:00,14.45,sell,17132.5
2021-10-13 00:00:00,14.44,sell,18462.5
2021-10-14 00:00:00,14.42,sell,19794.5
2021-10-15 00:00:00,13.99,sell,21169.5
2021-10-18 00:00:00,14.72,sell,22471.5
2021-10-19 00:00:00,14.5,sell,23795.5
2021-10-20 00:00:00,14.28,sell,25141.5
2021-10-21 00:00:00,14.29,sell,26486.5
2021-10-22 00:00:00,14.31,sell,27829.5
2021-10-25 00:00:00,14.46,buy,26501.5
2021-10-26 00:00:00,14.13,sell,27862.5
2021-10-27 00:00:00,13.67,sell,29269.5
2021-10-28 00:00:00,14.39,buy,27934.5
2021-10-29 00:00:00,14.04,sell,29304.5
2021-11-01 00:00:00,15.28,buy,28058.5
2021-11-02 00:00:00,16.75,buy,26959.5
2021-11-03 00:00:00,19.3,buy,26115.5
2021-11-04 00:00:00,20.17,buy,25358.5
2021-11-05 00:00:00,22.57,buy,24841.5
2021-11-08 00:00:00,21.67,buy,24234.5
2021-11-09 00:00:00,21.59,buy,23619.5
